Details,Nombre_chambre,nombre_salle_bain,Superficie,Adresse,Prix,image_lien-src
Appartement F5 moderne corniche mamelles,5,6,334,Mamelles Dakar,3000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/51a7c1be8a11cc8e895803b63ecf8c18/-/horizon-files-prod/ed/picture/q2j05k2e/8aead1e8e5f47b18a29d8bfba1455f22db896300.jpg
Appartement neuf a la sicap foire,3,3,150,Sicap foire Dakar,450000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/88d66f6b10aa986ed8e321a4d68a883c/-/horizon-files-prod/ed/picture/qpdm2gej/22d460c67e0f2afa6218dad5c1d576b71ba33a4d.jpg
Appartement meublé à louer Almadies,2,2,120,Almadies Dakar,700000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/43d39d5ce684b74449849653e27e6312/-/horizon-files-prod/ed/picture/q6xdzqp8/b16c7555f1d50db03bfa6ae23e19552b7756e4c0.jpg
Appartement neuf liberté 6,2,3,150,Liberte 6 Dakar,375000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b16c7a952f974b03f6d5f63963074277/-/horizon-files-prod/ed/picture/qj4qx6er/0ae63c08a8a55881f5251e7f5d178529e6411353.jpg
Somptueux F4 à louer sur Mermoz,3,4,150,Mermoz Dakar,1000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/95e1cf995baee3709ddee3c7f89711a2/-/horizon-files-prod/ed/picture/qq42g987/d9b26fe149c86414dac57d339c640e146e236751.jpg
Appartement à louer,2,3,100,Zone de captage Dakar,275000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/cfda832df7aa4aadbb3cbd509c8e4522/-/horizon-files-prod/ed/picture/qngpw68m/8c8aaee0d0746c838e1425c62432ea4efbb19cfc.jpg
Mamelles appartement à louer,3,3,150,Mamelles Dakar,900000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/01f31c575a977cb7950d0dfc87af6829/-/horizon-files-prod/ed/picture/qv4w9xgw/e7fe6a6deb7d18259b55814beb0d3eeef9e3ea16.jpg
Appartement à louer a fann résidence,3,3,200,Fann Dakar,1600000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/45009011f0a344374826d21e17c01185/-/horizon-files-prod/ed/picture/qenv2p76/436253ddc73190b6675e3b1793df408127dba893.jpg
Bel Apartement Quartier Résidentiel Nord Foire,2,2,150,Nord foire Dakar,260000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/556bedea18deb4eaa2416f9cc6ab5848/-/horizon-files-prod/ed/picture/qde74d68/57036b15afe1c5b9fa11abe5b86736e9f43ce117.jpg
Appartement à louer,1,2,12,Fann Hock Dakar,325000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/491206edbdf6a7e4203761a8e34d4eef/-/horizon-files-prod/ed/picture/q0g759n8/fe8ecc1bb0fe33e49d927eeea4b0ebbedc2a39e6.jpg
